Name,Description,Latitude,Longitude,投票区,住所1,住所2,緯度,経度
1.0,投票区: 第一投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴１２６５<br>緯度: 35.1480804<br>経度: 139.1447908,35.1480804,139.1447908,第一投票区,神奈川県足柄下郡真鶴町,真鶴１２６５,35.1480804,139.1447908
2.0,投票区: 第一投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴１１１５－７<br>緯度: 35.150472<br>経度: 139.144951,35.150472,139.144951,第一投票区,神奈川県足柄下郡真鶴町,真鶴１１１５－７,35.150472,139.144951
3.0,投票区: 第一投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴１９４７－２３<br>緯度: 35.152791<br>経度: 139.141248,35.152791,139.141248,第一投票区,神奈川県足柄下郡真鶴町,真鶴１９４７－２３,35.152791,139.141248
4.0,投票区: 第一投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴９２０ー１<br>緯度: 35.153288<br><br>経度: 139.139661,35.153288,139.139661,第一投票区,神奈川県足柄下郡真鶴町,真鶴９２０ー１,"35.153288
",139.139661
5.0,投票区: 第一投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴１９４７－５<br>緯度: 35.1537446<br>経度: 139.1418584,35.1537446,139.1418584,第一投票区,神奈川県足柄下郡真鶴町,真鶴１９４７－５,35.1537446,139.1418584
7.0,投票区: 第一投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴６６３－１<br>緯度: 35.1551308<br>経度: 139.141441,35.1551308,139.141441,第一投票区,神奈川県足柄下郡真鶴町,真鶴６６３－１,35.1551308,139.141441
8.0,投票区: 第二投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴５５６－１<br>緯度: 35.1562459<br>経度: 139.140572,35.1562459,139.140572,第二投票区,神奈川県足柄下郡真鶴町,真鶴５５６－１,35.1562459,139.140572
9.0,投票区: 第二投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴５００－８<br>緯度: 35.1559721<br>経度: 139.1387062,35.1559721,139.1387062,第二投票区,神奈川県足柄下郡真鶴町,真鶴５００－８,35.1559721,139.1387062
10.0,投票区: 第二投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴１７７９－５<br>緯度: 35.1552122<br>経度: 139.13568,35.1552122,139.13568,第二投票区,神奈川県足柄下郡真鶴町,真鶴１７７９－５,35.1552122,139.13568
11.0,投票区: 第二投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴４２８－１<br>緯度: 35.1556037<br>経度: 139.1357497,35.1556037,139.1357497,第二投票区,神奈川県足柄下郡真鶴町,真鶴４２８－１,35.1556037,139.1357497
12.0,投票区: 第二投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴１８１６－９<br>緯度: 35.156395<br>経度: 139.1324043,35.156395,139.1324043,第二投票区,神奈川県足柄下郡真鶴町,真鶴１８１６－９,35.156395,139.1324043
13.0,投票区: 第二投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴３７２－２<br>緯度: 35.15677164465765<br>経度: 139.13340063928962,35.1567716446577,139.13340063929,第二投票区,神奈川県足柄下郡真鶴町,真鶴３７２－２,35.15677164465765,139.13340063928962
